,Nos.,order_id,Item,Price,City,Quantity,Bill Amount,State of Delivery,Year,product_ID
0,1,1,Product 42,83,Pune,4,332,Maharashtra,2014, 42
1,2,1,Product 462,58,Pune,6,348,Maharashtra,2014, 462
2,3,1,Product 305,277,Pune,6,1662,Maharashtra,2014, 305
3,4,1,Product 388,242,Pune,7,1694,Maharashtra,2014, 388
4,5,1,Product 128,261,Pune,7,1827,Maharashtra,2014, 128
5,6,1,Product 163,124,Pune,2,248,Maharashtra,2014, 163
6,7,1,Product 217,68,Pune,9,612,Maharashtra,2014, 217
7,8,1,Product 32,192,Pune,1,192,Maharashtra,2014, 32
8,9,1,Product 187,103,Pune,10,1030,Maharashtra,2014, 187
9,10,1,Product 236,65,Pune,9,585,Maharashtra,2014, 236
10,11,1,Product 94,284,Pune,5,1420,Maharashtra,2014, 94
11,12,2,Product 407,252,Coimbatore,1,252,Tamil Nadu,2014, 407
12,13,2,Product 499,78,Coimbatore,6,468,Tamil Nadu,2014, 499
13,14,2,Product 80,245,Coimbatore,10,2450,Tamil Nadu,2014, 80
14,15,2,Product 54,201,Coimbatore,6,1206,Tamil Nadu,2014, 54
15,16,2,Product 109,272,Coimbatore,6,1632,Tamil Nadu,2014, 109
16,17,2,Product 351,261,Coimbatore,1,261,Tamil Nadu,2014, 351
17,18,2,Product 485,271,Coimbatore,2,542,Tamil Nadu,2014, 485
18,19,2,Product 360,233,Coimbatore,6,1398,Tamil Nadu,2014, 360
19,20,2,Product 104,202,Coimbatore,4,808,Tamil Nadu,2014, 104
20,21,2,Product 390,207,Coimbatore,4,828,Tamil Nadu,2014, 390
21,22,2,Product 173,123,Coimbatore,8,984,Tamil Nadu,2014, 173
22,23,2,Product 93,174,Coimbatore,1,174,Tamil Nadu,2014, 93
23,24,3,Product 451,83,Aurangabad,1,83,Maharashtra,2014, 451
24,25,3,Product 295,155,Aurangabad,6,930,Maharashtra,2014, 295
25,26,3,Product 215,150,Aurangabad,2,300,Maharashtra,2014, 215
26,27,3,Product 309,195,Aurangabad,5,975,Maharashtra,2014, 309
27,28,3,Product 224,264,Aurangabad,3,792,Maharashtra,2014, 224
28,29,3,Product 355,80,Aurangabad,6,480,Maharashtra,2014, 355
29,30,3,Product 315,263,Aurangabad,4,1052,Maharashtra,2014, 315
30,31,3,Product 212,259,Aurangabad,4,1036,Maharashtra,2014, 212
31,32,3,Product 44,153,Aurangabad,1,153,Maharashtra,2014, 44
32,33,3,Product 357,87,Aurangabad,7,609,Maharashtra,2014, 357
33,34,3,Product 99,125,Aurangabad,4,500,Maharashtra,2014, 99
34,35,3,Product 364,65,Aurangabad,1,65,Maharashtra,2014, 364
35,36,3,Product 377,119,Aurangabad,2,238,Maharashtra,2014, 377
36,37,3,Product 471,198,Aurangabad,3,594,Maharashtra,2014, 471
37,38,3,Product 182,259,Aurangabad,8,2072,Maharashtra,2014, 182
38,39,3,Product 36,214,Aurangabad,7,1498,Maharashtra,2014, 36
39,40,3,Product 467,211,Aurangabad,3,633,Maharashtra,2014, 467
40,41,4,Product 344,119,Nagpur,2,238,Maharashtra,2014, 344
41,42,4,Product 144,99,Nagpur,3,297,Maharashtra,2014, 144
42,43,4,Product 184,275,Nagpur,4,1100,Maharashtra,2014, 184
43,44,4,Product 166,79,Nagpur,7,553,Maharashtra,2014, 166
44,45,4,Product 329,219,Nagpur,9,1971,Maharashtra,2014, 329
45,46,4,Product 414,130,Nagpur,8,1040,Maharashtra,2014, 414
46,47,4,Product 371,97,Nagpur,5,485,Maharashtra,2014, 371
47,48,4,Product 498,56,Nagpur,2,112,Maharashtra,2014, 498
48,49,4,Product 441,292,Nagpur,4,1168,Maharashtra,2014, 441
49,50,4,Product 93,174,Nagpur,1,174,Maharashtra,2014, 93
50,51,4,Product 129,65,Nagpur,9,585,Maharashtra,2014, 129
51,52,5,Product 23,296,Ahemadabad,8,2368,Gujarat,2014, 23
52,53,5,Product 123,219,Ahemadabad,8,1752,Gujarat,2014, 123
